Title,Description,Priority,Status,Assignee,Labels,Estimate,Created,Completed
Dashboard — Stat cards backend (asset value dispatch value adjustments),Build convex/dashboard/queries.ts: query total asset value from products.totalAssetValue sum dispatch value from today dispatchItems unitCost * quantityDeducted adjustments count for today. Return in a single stats endpoint.,high,,,Dashboard,,,
Dashboard — Stat cards frontend (3-card grid),Three stat card components: Total Asset Value (PHP currency format) Total Dispatch Value (PHP currency) Manual Adjustments (count + Logs Today). Responsive 3-column grid with loading skeleton.,high,,,Dashboard,,,
Dashboard — Efficiency gauge chart (half-doughnut),Backend: query total dispatched vs received quantities compute efficiency = min(100 round(dispatched / received * 100)). Frontend: Chart.js half-doughnut (circumference 180 rotation -90) with center percentage label. Color tiers: >= 70% green 40-69% orange < 40% red.,high,,,Dashboard,,,
Dashboard — Dispatch history bar chart (range selector),Backend: query dispatch history grouped by date. Accept range param (today/week/month/3months/year). Frontend: Chart.js vertical bar chart with range selector dropdown. Tooltip shows unit count. Re-fetch on range change.,medium,,,Dashboard,,,
Dashboard — Low stock items widget,Backend: query products where currentQuantity <= lowStockThreshold. Frontend: scrollable list card (max-h-48) with product name + quantity in red. Empty state: All stock levels OK.,medium,,,Dashboard,,,
Dashboard — Top products widget (monthly ranking),Backend: query top 3 products by dispatch volume this month. Frontend: ordered list with rank circle product name quantity. Empty state: No dispatch data.,low,,,Dashboard,,,
Dashboard — Today dispatches widget (count + value),Backend: query todays dispatch count + total value. Frontend: card showing X Orders / PHP value. Empty state: No dispatches today.,low,,,Dashboard,,,
Products — Two-panel layout (grid + sidebar),Replace app/(dashboard)/products/page.tsx placeholder. Left panel: scrollable product grid area. Right panel: fixed sidebar for dispatch queue. Header with title subtitle + History link button.,urgent,,,Products,,,
Products — Product card component,Card grid item: product image or initials fallback (bg-muted circle) name truncated SKU below name current stock + baseUom label. Low stock badge (bg-destructive ribbon) when currentQuantity < lowStockThreshold.,urgent,,,Products,,,
Products — Filter bar (search type stock-status sort),Filter bar: search input (debounced 250ms) type dropdown (All/Sacks/Twines) stock-status dropdown (All/In Stock/Low Stock/Out of Stock) sort dropdown (Name A-Z/Name Z-A/Stock High-Low/Stock Low-High). Clear filters button hidden when none active. URL sync via nuqs.,high,,,Products,,,
Products — Unit toggle for twines (roll/kg),Button group on product cards: visible only for twines category. Toggles dispatchUom between Roll and Kg. Sacks dispatch as piece with no toggle shown.,medium,,,Products,,,
Products — Quantity controls (inc/dec/input max),Button group per card: decrement (disabled when stock <= 0) number input (step 1 sacks / 0.01 twines max = stock) increment (disabled at max). Manual input caps at stock. Stores in selectedItems Map.,high,,,Products,,,
Products — Backend dispatch query (active products + FIFO batches),convex/products/queries.ts: active products with stock and threshold. convex/batches/queries.ts: active batches in FIFO order (oldest first) for dispatch deduction. Return as dispatch-ready dataset.,urgent,,,Products,,,
Products — Dispatch queue sidebar,Right panel: header with Dispatch Queue + item count X items selected. Queue items: thumbnail 60x60 or initials product name truncated quantity + UOM remove button (X icon destructive). Empty state: No items selected.,urgent,,,Products,,,
Products — Dispatch submission (customer ref + submit),Frontend: customer reference input (optional placeholder Name or plate number) + Dispatch button (disabled when queue empty). On submit: POST to convex dispatch mutation with items array. Toast success clear queue reset card quantities.,urgent,,,Products,,,
Products — Dispatch mutation backend (FIFO deduction),convex/dispatches/mutations.ts: createDispatch. Validate stock sufficiency. FIFO: deduct from oldest active batches update quantityRemaining mark depleted when 0. Decrement product currentQuantity. Create dispatch + dispatchItems. Log audit: stock_out.,urgent,,,Products,,,
Products — URL sync for filters (nuqs),Sync search type stock-status sort params to URL searchParams via nuqs. Bookmarkable filter state. Restore filters on page load from URL.,low,,,Products,,,
Dispatch History — Backend query (today dispatches with computed fields),convex/dispatches/queries.ts: list dispatches with computed fields (createdAt time customerReference staffName totalItems status). Accept date range default to today. Return sorted by createdAt desc.,high,,,Dispatch History,,,
